Time	Fluo2	mtRCamp
6.5	28.73466	14.16679
6.51	28.44413	14.95826
6.52	28.31045	14.94045
6.53	29.34438	8.89868
6.54	29.78359	4.23068
6.55	27.58649	5.65233
6.56	26.81333	6.63432
6.57	30.31887	6.29519
6.58	32.21968	7.28041
6.59	30.63622	11.1411
6.6	30.39455	13.14341
6.61	32.33317	12.12602
6.62	33.85344	10.63949
6.63	34.85532	8.57163
6.64	32.73724	8.75463
6.65	27.64824	11.08097
6.66	25.5466	12.07226
6.67	25.62725	12.08829
6.68	26.81002	12.03146
6.69	28.60337	11.93427
6.7	28.21987	11.66551
6.71	26.94348	11.32638
6.72	26.38084	11.72583
6.73	26.02568	12.33998
6.74	27.34015	10.00765
6.75	28.97169	7.11574
6.76	27.98307	8.57095
6.77	26.72271	10.477
6.78	28.2256	10.17034
6.79	29.70843	9.82926
6.8	28.59385	10.26506
6.81	27.9931	10.2403
6.82	31.87034	6.20177
6.83	34.19799	3.67456
6.84	28.88256	8.60175
6.85	25.13369	12.71933
6.86	26.50727	14.18958
6.87	27.52713	13.57689
6.88	27.72099	8.10017
6.89	25.99604	4.81979
6.9	20.93961	5.35278
6.91	20.62593	7.10461
6.92	26.57103	10.46489
6.93	28.55175	10.34252
6.94	26.51594	6.69171
6.95	26.15179	6.23858
6.96	27.08853	8.27387
6.97	26.39226	10.31955
6.98	24.72867	12.37139
6.99	21.10362	11.42008
7	16.61223	9.14233
7.01	20.17994	10.96125
7.02	26.30287	14.07907
7.03	27.29525	13.37253
7.04	27.19858	11.85421
7.05	24.25311	10.16278
7.06	20.95746	8.45007
7.07	22.37303	8.69926
7.08	23.99119	8.99437
7.09	25.00909	7.31424
7.1	26.20495	6.1723
7.11	29.25815	10.64766
7.12	31.24309	13.52057
7.13	27.31725	7.52687
7.14	25.06618	3.68845
7.15	28.79815	7.54966
7.16	30.91323	9.79383
7.17	28.95858	7.96791
7.18	27.13945	6.57746
7.19	25.57201	5.99588
7.2	25.91159	6.46857
7.21	28.93273	8.42373
7.22	29.82356	10.02089
7.23	28.41794	11.23214
7.24	27.23339	10.56195
7.25	26.23203	8.3328
7.26	25.30951	7.52821
7.27	24.43687	7.62488
7.28	25.20771	9.29948
7.29	26.75861	11.72301
7.3	26.80764	11.58692
7.31	26.33927	10.56901
7.32	24.73319	11.51272
7.33	22.85919	12.91834
7.34	24.26481	11.22801
7.35	26.13881	9.09553
7.36	22.60281	10.1998
7.37	18.76679	11.49237
7.38	21.43226	10.2806
7.39	23.56667	9.26526
7.4	18.84936	10.7841
7.41	16.08778	12.26731
7.42	25.58701	13.52716
7.43	32.47319	14.02877
7.44	29.11292	11.55716
7.45	25.98724	9.0465
7.46	23.4996	6.42962
7.47	21.61697	5.47144
7.48	20.9382	7.81381
7.49	22.34745	10.11088
7.5	26.88744	12.34004
7.51	28.13155	13.97498
7.52	25.5948	14.92826
7.53	26.84394	12.85135
7.54	31.43201	8.10199
7.55	30.95672	6.32287
7.56	27.06346	6.54878
7.57	25.68594	6.15398
7.58	25.58927	5.44316
7.59	22.30374	7.26195
7.6	17.82837	10.02462
7.61	21.88233	13.32575
7.62	28.15053	16.76667
7.63	30.3085	13.09801
7.64	31.79478	8.26748
7.65	30.94944	8.1901
7.66	29.91551	8.49717
7.67	28.14554	11.5415
7.68	26.41795	14.49635
7.69	25.51326	15.53028
7.7	24.86887	15.93904
7.71	26.09666	11.85139
7.72	27.23654	8.93437
7.73	27.99597	11.0834
7.74	27.85488	11.35373
7.75	25.05964	6.08689
7.76	24.52677	4.4324
7.77	28.8243	10.49071
7.78	30.4375	11.9512
7.79	27.75548	6.0547
7.8	27.69941	3.41653
7.81	30.84979	4.75702
7.82	31.46667	5.83936
7.83	29.70589	6.67943
7.84	27.7948	7.8108
7.85	25.77553	9.1518
7.86	25.44973	9.65645
7.87	26.04735	9.70504
7.88	23.89281	9.4887
7.89	20.62921	9.1656
7.9	24.00571	8.47792
7.91	29.27255	7.68644
7.92	28.53934	8.84452
7.93	26.69739	10.36284
7.94	24.13594	9.85338
7.95	21.50303	9.14256
7.96	23.18655	7.48636
7.97	24.89146	6.11505
7.98	24.53631	11.9795
7.99	24.06403	16.75932
8	22.60981	12.44576
8.01	22.14328	9.12542
8.02	26.42478	10.57964
8.03	28.73119	11.7148
8.04	24.70817	11.8275
8.05	21.81783	10.82258
8.06	21.5273	7.25241
8.07	20.21096	7.21819
8.08	17.14122	13.22791
8.09	18.51733	15.64872
8.1	25.67419	13.40302
8.11	29.57334	11.59397
8.12	30.21955	10.22091
8.13	28.91819	8.72905
8.14	26.12348	7.1461
